Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
2,0,7,0,2,26.25,0,1
1,1,45,0,0,26.55,0,0
1,0,30,0,0,106425,1,1
3,1,0,0,0,14.5,0,0
1,0,22,0,2,49.5,1,1
1,0,36,0,2,71,0,1
3,0,9,4,2,31275,0,0
3,0,11,4,2,31275,0,0
2,1,32,1,0,26,0,1
1,1,50,1,0,106425,1,0
1,1,64,0,0,26,0,0
2,0,19,1,0,26,0,1
2,1,0,0,0,13.8625,1,1
3,1,33,1,1,20525,0,0
2,1,8,1,1,36.75,0,1
1,1,17,0,2,110.8833,1,1
2,1,27,0,0,26,0,0
3,1,0,0,0,7.8292,2,0
3,1,22,0,0,7225,1,1
3,0,22,0,0,7775,0,1
1,1,62,0,0,26.55,0,0
1,0,48,1,0,39.6,1,1
1,1,0,0,0,227525,1,0
1,0,39,1,1,79.65,0,1
3,0,36,1,0,17.4,0,1
3,1,0,0,0,7.75,2,0
3,1,40,0,0,7.8958,0,0
2,1,28,0,0,13.5,0,0
3,1,0,0,0,8.05,0,0
3,0,0,0,0,8.05,0,0
3,1,24,2,0,24.15,0,0
3,1,19,0,0,7.8958,0,0
3,0,29,0,4,21075,0,0
3,1,0,0,0,7.2292,1,0
3,1,32,0,0,7.8542,0,1
2,1,62,0,0,10.5,0,1
1,0,53,2,0,51.4792,0,1
1,1,36,0,0,26.3875,0,1
3,0,0,0,0,7.75,2,1
3,1,16,0,0,8.05,0,0
3,1,19,0,0,14.5,0,0
2,0,34,0,0,13,0,1
1,0,39,1,0,55.9,0,1
3,0,0,1,0,14.4583,1,0
3,1,32,0,0,7925,0,1
2,0,25,1,1,30,0,1
1,0,39,1,1,110.8833,1,1
2,1,54,0,0,26,0,0
1,1,36,0,0,40125,1,0
3,1,0,0,0,8.7125,1,0
1,0,18,0,2,79.65,0,1
2,1,47,0,0,15,0,0
1,1,60,1,1,79.2,1,1
3,1,22,0,0,8.05,0,0
3,1,0,0,0,8.05,0,0
3,1,35,0,0,7125,0,0
1,0,52,1,0,78.2667,1,1
3,1,47,0,0,7.25,0,0
3,0,0,0,2,7.75,2,0
2,1,37,1,0,26,0,0
3,1,36,1,1,24.15,0,0
2,0,0,0,0,33,0,1
3,1,49,0,0,0,0,0
3,1,0,0,0,7225,1,0
1,1,49,1,0,56.9292,1,1
2,0,24,2,1,27,0,1
3,1,0,0,0,7.8958,0,0
1,1,0,0,0,42.4,0,0
3,1,44,0,0,8.05,0,0
1,1,35,0,0,26.55,1,1
3,1,36,1,0,15.55,0,0
3,1,30,0,0,7.8958,0,0
1,1,27,0,0,30.5,0,1
2,0,22,1,2,41.5792,1,1
1,0,40,0,0,153.4625,0,1
3,0,39,1,5,31275,0,0
3,1,0,0,0,7.05,0,0
3,0,0,1,0,15.5,2,1
3,1,0,0,0,7.75,2,0
3,1,35,0,0,8.05,0,0
2,0,24,1,2,65,0,1
3,1,34,1,1,14.4,0,0
3,0,26,1,0,16.1,0,0
2,0,4,2,1,39,0,1
2,1,26,0,0,10.5,0,0
3,1,27,1,0,14.4542,1,0
1,1,42,1,0,52.5542,0,1
3,1,20,1,1,15.7417,1,1
3,1,21,0,0,7.8542,0,0
3,1,21,0,0,16.1,0,0
1,1,61,0,0,32.3208,0,0
2,1,57,0,0,12.35,2,0
1,0,21,0,0,77.9583,0,1
3,1,26,0,0,7.8958,0,0
3,1,0,0,0,7.7333,2,0
1,1,80,0,0,30,0,1
3,1,51,0,0,7.0542,0,0
1,1,32,0,0,30.5,1,1
1,1,0,0,0,0,0,0
3,0,9,3,2,27.9,0,0
2,0,28,0,0,13,0,1
3,1,32,0,0,7925,0,0
2,1,31,1,1,26.25,0,0
3,0,41,0,5,39.6875,0,0
3,1,0,1,0,16.1,0,0
3,1,20,0,0,7.8542,0,0
1,0,24,0,0,69.3,1,1
3,0,2,3,2,27.9,0,0
3,1,0,0,0,56.4958,0,1
3,0,0.75,2,1,19.2583,1,1
1,1,48,1,0,76.7292,1,1
3,1,19,0,0,7.8958,0,0
1,1,56,0,0,35.5,1,1
3,1,0,0,0,7.55,0,0
3,0,23,0,0,7.55,0,1
3,1,0,0,0,7.8958,0,0
2,0,18,0,1,23,0,1
3,1,21,0,0,8.4333,0,0
3,0,0,0,0,7.8292,2,1
3,0,18,0,0,6.75,2,0
2,1,24,2,0,73.5,0,0
3,1,0,0,0,7.8958,0,0
3,0,32,1,1,15.5,2,0
2,1,23,0,0,13,0,0
1,1,58,0,2,113275,1,0
1,1,50,2,0,133.65,0,1
3,1,40,0,0,7225,1,0
1,1,47,0,0,25.5875,0,0
3,1,36,0,0,7.4958,0,0
3,1,20,1,0,7925,0,1
